instance,scale,rule,ort_feasible,droc_feasible,ort_vehicles,droc_vehicles,ort_distance,droc_distance,ort_runtime,droc_runtime,vehicle_improvement,distance_improvement,runtime_ratio
ORTEC-SYNTH-300-s64,300,latest,True,True,28.0,29.0,157223.1,158417.0,89.39,191.7,-3.571428571428571,-0.759366785160701,2.144535182906365
ORTEC-SYNTH-300-s64,300,retry,True,True,28.0,29.0,157223.1,158417.0,89.39,191.7,-3.571428571428571,-0.759366785160701,2.144535182906365
ORTEC-SYNTH-300-s67,300,latest,True,True,31.0,31.0,172096.4,127570.0,39.05,183.22,0.0,25.87294097959051,4.691933418693982
ORTEC-SYNTH-300-s67,300,retry,True,True,31.0,28.0,172096.4,122736.0,39.05,153.33,9.67741935483871,28.68183181054339,3.9265044814340597
ORTEC-SYNTH-300-s69,300,latest,True,True,31.0,31.0,170763.5,172329.0,30.19,180.85,0.0,-0.9167649995461559,5.990394170255051
ORTEC-SYNTH-300-s69,300,retry,True,True,31.0,28.0,170763.5,163173.0,30.19,181.96,9.67741935483871,4.4450365564069605,6.0271613116926135
ORTEC-SYNTH-300-s72,300,latest,True,True,29.0,30.0,152207.7,161440.0,33.1,171.94,-3.4482758620689653,-6.065593264992499,5.194561933534743
ORTEC-SYNTH-300-s72,300,retry,True,True,29.0,27.0,152207.7,122393.0,33.1,151.62,6.896551724137931,19.588168009897007,4.580664652567976
ORTEC-SYNTH-300-s70,300,latest,True,True,31.0,33.0,184821.9,147025.0,55.58,175.75,-6.451612903225806,20.45044445490496,3.162108672184239
ORTEC-SYNTH-300-s70,300,retry,True,True,31.0,29.0,184821.9,172487.0,55.58,210.19,6.451612903225806,6.673938532176109,3.781756027347967
ORTEC-SYNTH-300-s73,300,latest,True,True,29.0,26.0,114677.0,112456.0,24.91,197.89,10.344827586206897,1.9367440724818403,7.9441991168205535
ORTEC-SYNTH-300-s73,300,retry,True,True,29.0,24.0,114677.0,111419.0,24.91,193.93,17.24137931034483,2.841023047341664,7.785226816539542
ORTEC-SYNTH-300-s68,300,latest,False,True,0.0,22.0,0.0,106897.0,120.43,300.11,,,2.4919870464170057
ORTEC-SYNTH-300-s68,300,retry,False,True,0.0,22.0,0.0,106897.0,120.43,300.11,,,2.4919870464170057
ORTEC-SYNTH-300-s75,300,latest,True,True,28.0,27.0,134140.1,137139.0,34.7,177.83,3.571428571428571,-2.235647654951796,5.12478386167147
ORTEC-SYNTH-300-s75,300,retry,True,True,28.0,27.0,134140.1,137139.0,34.7,177.83,3.571428571428571,-2.235647654951796,5.12478386167147
ORTEC-SYNTH-300-s71,300,latest,False,False,0.0,0.0,0.0,0.0,120.65,247.41,,,2.050642353916287
ORTEC-SYNTH-300-s71,300,retry,False,False,0.0,0.0,0.0,0.0,120.65,247.41,,,2.050642353916287
ORTEC-SYNTH-300-s76,300,latest,True,True,29.0,30.0,154488.5,159827.0,29.56,212.82,-3.4482758620689653,-3.4555970185483065,7.199594046008119
ORTEC-SYNTH-300-s76,300,retry,True,True,29.0,27.0,154488.5,148053.0,29.56,157.62,6.896551724137931,4.165682235247284,5.332205683355887
ORTEC-SYNTH-300-s74,300,latest,True,True,29.0,28.0,163512.4,157061.0,73.48,183.48,3.4482758620689653,3.9455111661256237,2.4970059880239517
ORTEC-SYNTH-300-s74,300,retry,True,True,29.0,28.0,163512.4,157061.0,73.48,183.48,3.4482758620689653,3.9455111661256237,2.4970059880239517
ORTEC-SYNTH-300-s79,300,latest,True,True,28.0,28.0,148676.1,147290.0,33.1,175.46,0.0,0.9322951032479367,5.300906344410876
ORTEC-SYNTH-300-s79,300,retry,True,True,28.0,26.0,148676.1,141011.0,33.1,192.91,7.142857142857142,5.15556972506005,5.82809667673716
ORTEC-SYNTH-300-s78,300,latest,True,True,29.0,31.0,172699.6,167427.0,37.54,224.97,-6.896551724137931,3.0530470250075887,5.992807671816729
ORTEC-SYNTH-300-s78,300,retry,True,True,29.0,28.0,172699.6,160330.0,37.54,158.38,3.4482758620689653,7.162494875494793,4.2189664358018115
ORTEC-SYNTH-300-s81,300,latest,True,True,29.0,28.0,139370.0,135439.0,26.63,177.88,3.4482758620689653,2.8205496161297265,6.679684566278633
ORTEC-SYNTH-300-s81,300,retry,True,True,29.0,27.0,139370.0,110714.0,26.63,91.21,6.896551724137931,20.561096362201333,3.425084491175366
ORTEC-SYNTH-300-s80,300,latest,True,True,27.0,28.0,140455.1,144710.0,68.58,164.7,-3.7037037037037033,-3.0293666801703845,2.401574803149606
ORTEC-SYNTH-300-s80,300,retry,True,True,27.0,25.0,140455.1,138340.0,68.58,68.28,7.4074074074074066,1.505890494542388,0.9956255468066492
ORTEC-SYNTH-300-s82,300,latest,True,True,27.0,28.0,143080.2,149659.0,35.38,159.65,-3.7037037037037033,-4.597980712914846,4.5124364047484455
ORTEC-SYNTH-300-s82,300,retry,True,True,27.0,25.0,143080.2,133605.0,35.38,163.82,7.4074074074074066,6.622299940872329,4.630299604296212
ORTEC-SYNTH-300-s83,300,latest,True,True,28.0,27.0,156749.1,148352.0,33.82,186.65,3.571428571428571,5.357032352976831,5.518923713778829
ORTEC-SYNTH-300-s83,300,retry,True,True,28.0,27.0,156749.1,148352.0,33.82,186.65,3.571428571428571,5.357032352976831,5.518923713778829
ORTEC-SYNTH-300-s77,300,latest,False,False,0.0,0.0,0.0,0.0,120.43,344.85,,,2.8634891638296107
ORTEC-SYNTH-300-s77,300,retry,False,True,0.0,32.0,0.0,227773.0,120.43,131.88,,,1.0950759777464085
ORTEC-SYNTH-300-s85,300,latest,True,True,30.0,29.0,158177.6,116103.0,44.39,156.31,3.3333333333333335,26.59959437998807,3.521288578508673
ORTEC-SYNTH-300-s85,300,retry,True,True,30.0,29.0,158177.6,116103.0,44.39,156.31,3.3333333333333335,26.59959437998807,3.521288578508673
ORTEC-SYNTH-300-s86,300,latest,True,True,30.0,28.0,177642.8,163266.0,33.93,171.41,6.666666666666667,8.093094682137407,5.051871500147362
ORTEC-SYNTH-300-s86,300,retry,True,True,30.0,28.0,177642.8,163266.0,33.93,171.41,6.666666666666667,8.093094682137407,5.051871500147362
ORTEC-SYNTH-300-s87,300,latest,True,True,29.0,27.0,153524.8,157412.0,31.29,175.66,6.896551724137931,-2.5319687763801104,5.613934164269735
ORTEC-SYNTH-300-s87,300,retry,True,True,29.0,27.0,153524.8,157412.0,31.29,175.66,6.896551724137931,-2.5319687763801104,5.613934164269735
ORTEC-SYNTH-300-s89,300,latest,True,True,34.0,34.0,195272.7,200857.0,41.43,175.81,0.0,-2.859744347264102,4.243543326092204
ORTEC-SYNTH-300-s89,300,retry,True,True,34.0,30.0,195272.7,185158.0,41.43,193.33,11.76470588235294,5.179781915239565,4.66642529567946
ORTEC-SYNTH-300-s90,300,latest,True,True,29.0,29.0,149695.4,146652.0,31.92,108.8,0.0,2.033061804170331,3.408521303258145
ORTEC-SYNTH-300-s90,300,retry,True,True,29.0,29.0,149695.4,146652.0,31.92,108.8,0.0,2.033061804170331,3.408521303258145
ORTEC-SYNTH-300-s84,300,latest,True,True,30.0,30.0,183880.2,186342.0,101.86,156.19,0.0,-1.3388064620334263,1.53337914784999
ORTEC-SYNTH-300-s84,300,retry,True,True,30.0,27.0,183880.2,174026.0,101.86,196.74,10.0,5.359032674534839,1.9314745729432556
ORTEC-SYNTH-300-s92,300,latest,True,True,27.0,27.0,132146.4,103338.0,26.22,107.5,0.0,21.800366865839703,4.099923722349351
ORTEC-SYNTH-300-s92,300,retry,True,True,27.0,25.0,132146.4,128913.0,26.22,176.86,7.4074074074074066,2.446831695755612,6.745232646834478
ORTEC-SYNTH-300-s94,300,latest,True,True,27.0,26.0,134292.0,131292.0,30.9,174.14,3.7037037037037033,2.233937985881512,5.635598705501618
ORTEC-SYNTH-300-s94,300,retry,True,True,27.0,25.0,134292.0,132539.0,30.9,160.82,7.4074074074074066,1.3053644297500968,5.204530744336569
ORTEC-SYNTH-300-s88,300,latest,False,False,0.0,0.0,0.0,0.0,120.49,321.76,,,2.670429081251556
ORTEC-SYNTH-300-s88,300,retry,False,True,0.0,25.0,0.0,131663.0,120.49,149.85,,,1.2436716739978422
ORTEC-SYNTH-300-s93,300,latest,True,True,28.0,28.0,144710.6,144659.0,79.1,180.18,0.0,0.03565737409699484,2.2778761061946904
ORTEC-SYNTH-300-s93,300,retry,True,True,28.0,25.0,144710.6,137783.0,79.1,147.84,10.714285714285714,4.787209782835539,1.8690265486725666
ORTEC-SYNTH-300-s95,300,latest,True,True,32.0,31.0,175622.7,175423.0,34.66,177.82,3.125,0.11370967420499264,5.130409694171957
ORTEC-SYNTH-300-s95,300,retry,True,True,32.0,28.0,175622.7,160485.0,34.66,173.33,12.5,8.619443841826833,5.0008655510675135
ORTEC-SYNTH-300-s96,300,latest,True,True,30.0,32.0,156964.7,193981.0,28.1,138.0,-6.666666666666667,-23.58256346809186,4.911032028469751
ORTEC-SYNTH-300-s96,300,retry,True,True,30.0,29.0,156964.7,157191.0,28.1,192.65,3.3333333333333335,-0.14417254325334827,6.855871886120997
ORTEC-SYNTH-300-s91,300,latest,False,False,0.0,0.0,0.0,0.0,120.5,314.31,,,2.6083817427385894
ORTEC-SYNTH-300-s91,300,retry,False,True,0.0,34.0,0.0,232478.0,120.5,135.91,,,1.127883817427386
ORTEC-SYNTH-300-s98,300,latest,True,True,30.0,29.0,154759.8,153068.0,33.41,159.95,3.3333333333333335,1.09317794414311,4.787488775815624
ORTEC-SYNTH-300-s98,300,retry,True,True,30.0,29.0,154759.8,128735.0,33.41,179.12,3.3333333333333335,16.816253316429712,5.36126908111344
ORTEC-SYNTH-300-s99,300,latest,True,True,29.0,29.0,152213.6,148922.0,34.96,190.03,0.0,2.1624874518439916,5.435640732265446
ORTEC-SYNTH-300-s99,300,retry,True,True,29.0,29.0,152213.6,148922.0,34.96,190.03,0.0,2.1624874518439916,5.435640732265446
ORTEC-SYNTH-300-s97,300,latest,True,True,29.0,28.0,159692.0,120626.0,58.53,106.26,3.4482758620689653,24.463341933221454,1.8154792414146592
ORTEC-SYNTH-300-s97,300,retry,True,True,29.0,26.0,159692.0,151384.0,58.53,164.16,10.344827586206897,5.202514841069058,2.8047155304971807
ORTEC-SYNTH-500-s201,500,latest,True,True,45.0,46.0,242521.2,248951.0,74.77,205.08,-2.2222222222222223,-2.6512321397057197,2.7428112879497126
ORTEC-SYNTH-500-s201,500,retry,True,True,45.0,42.0,242521.2,238630.0,74.77,174.47,6.666666666666667,1.6044782889083558,2.333422495653337
ORTEC-SYNTH-500-s200,500,latest,True,True,47.0,46.0,262679.9,199956.0,88.41,170.58,2.127659574468085,23.87845434690664,1.9294197488971838
ORTEC-SYNTH-500-s200,500,retry,True,True,47.0,46.0,262679.9,199956.0,88.41,170.58,2.127659574468085,23.87845434690664,1.9294197488971838
ORTEC-SYNTH-500-s202,500,latest,False,True,46.0,47.0,241455.2,241188.0,104.38,225.86,,,2.1638244874497032
ORTEC-SYNTH-500-s202,500,retry,False,True,46.0,47.0,241455.2,241188.0,104.38,225.86,,,2.1638244874497032
ORTEC-SYNTH-500-s203,500,latest,True,True,46.0,43.0,232244.3,179695.0,122.21,176.71,6.521739130434782,22.62673400380547,1.445953686277719
ORTEC-SYNTH-500-s203,500,retry,True,True,46.0,41.0,232244.3,218447.0,122.21,163.89,10.869565217391305,5.940856244911065,1.3410522870468864
ORTEC-SYNTH-500-s204,500,latest,True,True,45.0,44.0,215787.6,215698.0,80.8,170.3,2.2222222222222223,0.04152231175470964,2.107673267326733
ORTEC-SYNTH-500-s204,500,retry,True,True,45.0,43.0,215787.6,209232.0,80.8,160.71,4.444444444444445,3.0379873542316638,1.9889851485148518
ORTEC-SYNTH-500-s205,500,latest,True,True,44.0,44.0,217261.3,213567.0,74.73,236.96,0.0,1.700394870140236,3.17088184129533
ORTEC-SYNTH-500-s205,500,retry,True,True,44.0,44.0,217261.3,213567.0,74.73,236.96,0.0,1.700394870140236,3.17088184129533
ORTEC-SYNTH-500-s206,500,latest,False,False,0.0,0.0,0.0,0.0,120.77,394.5,,,3.266539703568767
ORTEC-SYNTH-500-s206,500,retry,False,True,0.0,94.0,0.0,1204961.0,120.77,139.25,,,1.153018133642461
ORTEC-SYNTH-500-s208,500,latest,False,True,46.0,49.0,242607.9,343748.0,79.92,141.93,,,1.775900900900901
ORTEC-SYNTH-500-s208,500,retry,False,True,46.0,43.0,242607.9,236274.0,79.92,159.94,,,2.0012512512512513
ORTEC-SYNTH-500-s207,500,latest,True,True,46.0,44.0,227546.5,221694.0,122.0,180.02,4.3478260869565215,2.572001766671867,1.4755737704918033
ORTEC-SYNTH-500-s207,500,retry,True,True,46.0,44.0,227546.5,221694.0,122.0,180.02,4.3478260869565215,2.572001766671867,1.4755737704918033
ORTEC-SYNTH-500-s209,500,latest,False,True,0.0,49.0,0.0,323173.0,120.82,144.43,,,1.1954146664459528
ORTEC-SYNTH-500-s209,500,retry,False,True,0.0,47.0,0.0,299747.0,120.82,147.57,,,1.2214037411024665
ORTEC-SYNTH-500-s210,500,latest,True,True,44.0,44.0,223759.9,172833.0,69.78,186.72,0.0,22.759618680558937,2.6758383490971624
ORTEC-SYNTH-500-s210,500,retry,True,True,44.0,43.0,223759.9,220051.0,69.78,166.61,2.272727272727273,1.6575355995421852,2.387646890226426
ORTEC-SYNTH-500-s211,500,latest,True,True,45.0,48.0,232835.2,238854.0,98.67,192.16,-6.666666666666667,-2.585004329242309,1.9475017735887301
ORTEC-SYNTH-500-s211,500,retry,True,True,45.0,43.0,232835.2,226449.0,98.67,188.49,4.444444444444445,2.7427983397699367,1.9103070842201277
ORTEC-SYNTH-500-s213,500,latest,True,True,41.0,46.0,211761.4,261940.0,91.78,139.98,-12.195121951219512,-23.695819918077614,1.5251688821093918
ORTEC-SYNTH-500-s213,500,retry,True,True,41.0,39.0,211761.4,162106.0,91.78,255.6,4.878048780487805,23.448749394365542,2.7849204619742864
ORTEC-SYNTH-500-s212,500,latest,True,True,45.0,43.0,231214.9,234246.0,121.0,155.17,4.444444444444445,-1.3109449261271682,1.282396694214876
ORTEC-SYNTH-500-s212,500,retry,True,True,45.0,42.0,231214.9,232285.0,121.0,176.46,6.666666666666667,-0.4628161939390609,1.4583471074380165
ORTEC-SYNTH-500-s214,500,latest,True,True,42.0,43.0,179557.0,185448.0,109.63,186.69,-2.380952380952381,-3.2808523198761397,1.7029097874669343
ORTEC-SYNTH-500-s214,500,retry,True,True,42.0,41.0,179557.0,185535.0,109.63,180.65,2.380952380952381,-3.3293049003937467,1.6478153790020982
ORTEC-SYNTH-500-s215,500,latest,True,True,48.0,47.0,282150.4,282358.0,88.12,174.43,2.083333333333333,-0.07357777979403067,1.9794598275079436
ORTEC-SYNTH-500-s215,500,retry,True,True,48.0,42.0,282150.4,178648.0,88.12,169.5,12.5,36.68341423581183,1.9235133908306854
ORTEC-SYNTH-500-s216,500,latest,True,True,42.0,42.0,194416.6,158999.0,77.6,185.35,0.0,18.217374442305857,2.3885309278350517
ORTEC-SYNTH-500-s216,500,retry,True,True,42.0,38.0,194416.6,198166.0,77.6,261.61,9.523809523809524,-1.9285390239310811,3.3712628865979384
ORTEC-SYNTH-500-s217,500,latest,True,True,43.0,43.0,235321.2,232948.0,122.69,214.14,0.0,1.0084939223495424,1.745374521150868
ORTEC-SYNTH-500-s217,500,retry,True,True,43.0,41.0,235321.2,223754.0,122.69,205.56,4.651162790697675,4.915494226614522,1.6754421713261065
ORTEC-SYNTH-500-s219,500,latest,True,True,48.0,48.0,250598.3,244586.0,89.47,180.01,0.0,2.3991782865246845,2.011959315971834
ORTEC-SYNTH-500-s219,500,retry,True,True,48.0,45.0,250598.3,240217.0,89.47,168.42,6.25,4.1426059155229655,1.8824186878283222
ORTEC-SYNTH-500-s218,500,latest,False,True,0.0,45.0,0.0,212497.0,120.82,177.36,,,1.4679688793246153
ORTEC-SYNTH-500-s218,500,retry,False,True,0.0,45.0,0.0,212497.0,120.82,177.36,,,1.4679688793246153
ORTEC-SYNTH-500-s220,500,latest,True,True,46.0,45.0,214079.9,212808.0,100.93,153.81,2.1739130434782608,0.594123969602001,1.5239274744872684
ORTEC-SYNTH-500-s220,500,retry,True,True,46.0,40.0,214079.9,214991.0,100.93,169.62,13.043478260869565,-0.425588763821361,1.6805706925591994
ORTEC-SYNTH-500-s222,500,latest,False,True,46.0,53.0,258308.3,381837.0,71.85,165.91,,,2.3091162143354214
ORTEC-SYNTH-500-s222,500,retry,False,True,46.0,44.0,258308.3,275466.0,71.85,160.02,,,2.22713987473904
