scenario,scale,rule,ort_feasible,droc_feasible,ort_served_rate,droc_served_rate,served_gain_pp,ort_runtime,droc_runtime,runtime_ratio
ORTEC-SYNTH-300-s66_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,37.78,541.99,14.345950238221281
ORTEC-SYNTH-300-s67_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,43.58,673.76,15.460302891234512
ORTEC-SYNTH-300-s67_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,43.58,583.54,13.39008719596145
ORTEC-SYNTH-300-s69_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,35.38,620.85,17.548049745618993
ORTEC-SYNTH-300-s69_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,35.38,620.85,17.548049745618993
ORTEC-SYNTH-300-s70_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,41.04,752.21,18.328703703703706
ORTEC-SYNTH-300-s70_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,41.04,752.21,18.328703703703706
ORTEC-SYNTH-300-s72_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,48.04,781.38,16.26519567027477
ORTEC-SYNTH-300-s72_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,48.04,675.29,14.056827643630308
ORTEC-SYNTH-300-s59_dyn5e,300,latest,False,False,0.6,0.6033,0.32999999999999696,264.18,1169.54,4.427057309410251
ORTEC-SYNTH-300-s59_dyn5e,300,retry,False,True,0.6,1.0033,40.33000000000001,264.18,787.27,2.98005148005148
ORTEC-SYNTH-300-s73_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,40.83,679.44,16.640705363703162
ORTEC-SYNTH-300-s73_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,40.83,556.08,13.619397501836886
ORTEC-SYNTH-300-s74_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,49.03,877.13,17.889659392208852
ORTEC-SYNTH-300-s74_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,49.03,594.07,12.116459310626148
ORTEC-SYNTH-300-s75_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,53.77,737.27,13.711549190998698
ORTEC-SYNTH-300-s75_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,53.77,516.17,9.599590849916309
ORTEC-SYNTH-300-s76_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,43.74,699.97,16.00297210791038
ORTEC-SYNTH-300-s76_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,43.74,699.97,16.00297210791038
ORTEC-SYNTH-300-s78_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,47.86,811.24,16.950271625574594
ORTEC-SYNTH-300-s78_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,47.86,734.11,15.338696197241957
ORTEC-SYNTH-300-s71_dyn5e,300,latest,False,False,0.6,0.6033,0.32999999999999696,267.69,1372.08,5.1256303933654594
ORTEC-SYNTH-300-s71_dyn5e,300,retry,False,False,0.6,0.6033,0.32999999999999696,267.69,1372.08,5.1256303933654594
ORTEC-SYNTH-300-s79_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,46.17,815.8,17.66948234784492
ORTEC-SYNTH-300-s79_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,46.17,630.61,13.65843621399177
ORTEC-SYNTH-300-s80_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,45.67,683.5,14.966060871469235
ORTEC-SYNTH-300-s80_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,45.67,543.88,11.90891175826582
ORTEC-SYNTH-300-s81_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,39.51,617.22,15.621867881548976
ORTEC-SYNTH-300-s81_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,39.51,581.56,14.719311566691976
ORTEC-SYNTH-300-s68_dyn5e,300,latest,False,False,0.4,0.4033,0.32999999999999696,386.76,1433.15,3.705527976005792
ORTEC-SYNTH-300-s68_dyn5e,300,retry,False,True,0.4,1.0033,60.330000000000005,386.76,916.36,2.369324645775158
ORTEC-SYNTH-300-s82_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,48.63,641.88,13.199259716224551
ORTEC-SYNTH-300-s82_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,48.63,641.88,13.199259716224551
ORTEC-SYNTH-300-s83_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,47.2,677.68,14.357627118644066
ORTEC-SYNTH-300-s83_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,47.2,575.9,12.201271186440676
ORTEC-SYNTH-300-s84_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,40.78,619.74,15.197155468366846
ORTEC-SYNTH-300-s84_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,40.78,616.05,15.106669936243255
ORTEC-SYNTH-300-s85_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,44.96,730.12,16.23932384341637
ORTEC-SYNTH-300-s85_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,44.96,645.97,14.367660142348754
ORTEC-SYNTH-300-s86_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,45.61,695.17,15.24161368121026
ORTEC-SYNTH-300-s86_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,45.61,695.17,15.24161368121026
ORTEC-SYNTH-300-s87_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,49.76,731.01,14.690715434083602
ORTEC-SYNTH-300-s87_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,49.76,588.85,11.83380225080386
ORTEC-SYNTH-300-s89_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,54.28,704.24,12.974207811348563
ORTEC-SYNTH-300-s89_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,54.28,704.24,12.974207811348563
ORTEC-SYNTH-300-s90_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,43.71,762.54,17.445435827041866
ORTEC-SYNTH-300-s90_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,43.71,594.7,13.605582246625486
ORTEC-SYNTH-300-s92_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,50.01,601.95,12.03659268146371
ORTEC-SYNTH-300-s92_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,50.01,601.95,12.03659268146371
ORTEC-SYNTH-300-s93_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,40.93,852.84,20.836550207671635
ORTEC-SYNTH-300-s93_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,40.93,619.59,15.137796237478623
ORTEC-SYNTH-300-s94_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,50.97,654.36,12.838140082401413
ORTEC-SYNTH-300-s94_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,50.97,654.36,12.838140082401413
ORTEC-SYNTH-300-s77_dyn5e,300,latest,False,False,0.2,0.2033,0.32999999999999974,489.78,1826.37,3.728959941198089
ORTEC-SYNTH-300-s77_dyn5e,300,retry,False,False,0.2,0.2033,0.32999999999999974,489.78,1826.37,3.728959941198089
ORTEC-SYNTH-300-s95_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,49.0,906.25,18.494897959183675
ORTEC-SYNTH-300-s95_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,49.0,775.88,15.834285714285715
ORTEC-SYNTH-300-s88_dyn5e,300,latest,False,False,0.6,0.6033,0.32999999999999696,262.74,1508.63,5.7419121565045295
ORTEC-SYNTH-300-s88_dyn5e,300,retry,False,False,0.6,0.6033,0.32999999999999696,262.74,1508.63,5.7419121565045295
ORTEC-SYNTH-300-s96_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,43.56,818.05,18.779843893480255
ORTEC-SYNTH-300-s96_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,43.56,564.01,12.947887970615243
ORTEC-SYNTH-300-s97_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,36.41,786.69,21.60642680582258
ORTEC-SYNTH-300-s97_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,36.41,547.34,15.032683328755839
ORTEC-SYNTH-300-s98_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,44.42,786.29,17.701260693381357
ORTEC-SYNTH-300-s98_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,44.42,681.98,15.352994146780729
ORTEC-SYNTH-300-s99_dyn5e,300,latest,True,True,1.0,1.0033,0.33000000000000806,42.93,848.4,19.76240391334731
ORTEC-SYNTH-300-s99_dyn5e,300,retry,True,True,1.0,1.0033,0.33000000000000806,42.93,593.55,13.825995807127882
ORTEC-SYNTH-500-s200_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,81.32,878.89,10.807796360059028
ORTEC-SYNTH-500-s200_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,81.32,726.61,8.935194294146582
ORTEC-SYNTH-500-s201_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,73.37,697.35,9.504565898868748
ORTEC-SYNTH-500-s201_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,73.37,671.4,9.150879105901593
ORTEC-SYNTH-500-s202_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,92.14,906.55,9.83883221185153
ORTEC-SYNTH-500-s202_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,92.14,770.68,8.364228348165835
ORTEC-SYNTH-500-s204_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,69.41,909.87,13.10862988042069
ORTEC-SYNTH-500-s204_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,69.41,734.78,10.586082697017721
ORTEC-SYNTH-500-s203_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,81.82,803.93,9.825592764605231
ORTEC-SYNTH-500-s203_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,81.82,725.22,8.863603031043755
ORTEC-SYNTH-500-s205_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,73.97,917.14,12.398810328511559
ORTEC-SYNTH-500-s205_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,73.97,708.74,9.581451939975667
ORTEC-SYNTH-500-s207_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,79.01,845.13,10.69649411466903
ORTEC-SYNTH-500-s207_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,79.01,641.56,8.119984812049106
ORTEC-SYNTH-500-s208_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,87.54,804.13,9.185857893534383
ORTEC-SYNTH-500-s208_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,87.54,547.68,6.256339958875941
ORTEC-SYNTH-500-s210_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,87.09,827.65,9.503387300493742
ORTEC-SYNTH-500-s210_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,87.09,737.22,8.465036169479848
ORTEC-SYNTH-500-s206_dyn5e,500,latest,False,False,0.6,0.602,0.20000000000000018,281.62,1643.1,5.834457779987217
ORTEC-SYNTH-500-s206_dyn5e,500,retry,False,False,0.6,0.602,0.20000000000000018,281.62,1643.1,5.834457779987217
ORTEC-SYNTH-500-s211_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,80.39,876.06,10.897624082597337
ORTEC-SYNTH-500-s211_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,80.39,619.31,7.703818882945639
ORTEC-SYNTH-300-s91_dyn5e,300,latest,False,False,0.0,0.8,80.0,723.67,2037.21,2.815109096687717
ORTEC-SYNTH-300-s91_dyn5e,300,retry,False,True,0.0,1.0033,100.33000000000001,723.67,632.07,0.8734229690328466
ORTEC-SYNTH-500-s212_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,89.12,862.43,9.67717684021544
ORTEC-SYNTH-500-s212_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,89.12,630.85,7.078657989228007
ORTEC-SYNTH-500-s213_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,76.2,892.74,11.715748031496062
ORTEC-SYNTH-500-s213_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,76.2,571.61,7.501443569553806
ORTEC-SYNTH-500-s214_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,81.5,1025.8,12.586503067484662
ORTEC-SYNTH-500-s214_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,81.5,592.45,7.269325153374234
ORTEC-SYNTH-500-s215_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,83.16,778.14,9.357142857142858
ORTEC-SYNTH-500-s215_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,83.16,775.59,9.326479076479076
