block,unit,scale,state,ort_runtime,droc_runtime
static,ORTEC-SYNTH-800-s415,800,droc_only,122.19,176.92
static,ORTEC-SYNTH-800-s416,800,both,121.88,184.61
static,ORTEC-SYNTH-800-s417,800,droc_only,124.2,182.58
static,ORTEC-SYNTH-800-s418,800,droc_only,122.86,174.82
static,ORTEC-SYNTH-800-s419,800,both,123.82,115.66
static,ORTEC-SYNTH-800-s420,800,droc_only,124.15,220.78
static,ORTEC-SYNTH-800-s421,800,both,124.83,170.17
static,ORTEC-SYNTH-800-s422,800,droc_only,124.8,170.49
static,ORTEC-SYNTH-800-s423,800,both,125.32,176.41
static,ORTEC-SYNTH-800-s424,800,both,123.7,112.09
static,ORTEC-SYNTH-800-s425,800,both,123.67,107.64
static,ORTEC-SYNTH-800-s426,800,droc_only,123.62,142.69
static,ORTEC-SYNTH-800-s427,800,droc_only,125.09,150.52
static,ORTEC-SYNTH-800-s428,800,droc_only,125.42,213.52
static,ORTEC-SYNTH-800-s429,800,droc_only,123.51,259.0
static,ORTEC-SYNTH-800-s430,800,both,123.83,175.68
static,ORTEC-SYNTH-800-s431,800,droc_only,123.79,101.69
static,ORTEC-SYNTH-800-s432,800,droc_only,126.03,235.64
static,ORTEC-SYNTH-800-s433,800,droc_only,125.18,161.42
static,ORTEC-SYNTH-800-s434,800,droc_only,123.91,144.05
static,ORTEC-SYNTH-800-s435,800,droc_only,123.39,165.81
static,ORTEC-SYNTH-800-s436,800,droc_only,123.83,189.46
static,ORTEC-SYNTH-800-s437,800,droc_only,124.11,181.04
static,ORTEC-SYNTH-800-s438,800,droc_only,122.56,185.61
static,ORTEC-SYNTH-800-s439,800,both,124.06,107.11
static,ORTEC-SYNTH-800-s440,800,neither,125.18,246.93
static,ORTEC-SYNTH-800-s441,800,both,122.89,178.38
static,ORTEC-SYNTH-800-s442,800,both,124.08,161.8
static,ORTEC-SYNTH-800-s443,800,droc_only,124.8,158.19
static,ORTEC-SYNTH-800-s444,800,droc_only,124.59,179.06
static,ORTEC-SYNTH-800-s445,800,both,123.52,167.51
static,ORTEC-SYNTH-800-s446,800,both,123.18,103.02
static,ORTEC-SYNTH-800-s447,800,droc_only,123.38,196.67
static,ORTEC-SYNTH-800-s448,800,both,123.96,159.84
static,ORTEC-SYNTH-800-s449,800,both,124.17,191.89
static,ORTEC-SYNTH-800-s450,800,droc_only,124.56,175.14
static,ORTEC-SYNTH-800-s451,800,droc_only,123.49,169.42
static,ORTEC-SYNTH-800-s452,800,droc_only,124.26,142.26
static,ORTEC-SYNTH-800-s453,800,droc_only,123.15,151.29
static,ORTEC-SYNTH-800-s454,800,droc_only,124.07,154.33
static,ORTEC-SYNTH-800-s455,800,droc_only,124.1,161.24
static,ORTEC-SYNTH-800-s456,800,both,124.6,167.08
static,ORTEC-SYNTH-800-s457,800,both,124.22,142.73
static,ORTEC-SYNTH-800-s458,800,droc_only,124.06,163.9
static,ORTEC-SYNTH-800-s459,800,both,123.49,145.37
static,ORTEC-SYNTH-800-s48,800,droc_only,125.38,185.4
static,ORTEC-SYNTH-800-s49,800,droc_only,125.1,165.8
static,ORTEC-SYNTH-800-s50,800,droc_only,123.23,106.56
dynamic,ORTEC-SYNTH-300-s101_dyn5e,300,both,13.31,561.56
dynamic,ORTEC-SYNTH-300-s100_dyn5e,300,both,14.31,559.62
dynamic,ORTEC-SYNTH-300-s103_dyn5e,300,both,40.3,593.5
dynamic,ORTEC-SYNTH-300-s102_dyn5e,300,both,40.59,583.94
dynamic,ORTEC-SYNTH-300-s104_dyn5e,300,both,51.09,515.32
dynamic,ORTEC-SYNTH-300-s105_dyn5e,300,both,51.9,594.85
dynamic,ORTEC-SYNTH-300-s106_dyn5e,300,both,42.67,592.42
dynamic,ORTEC-SYNTH-300-s107_dyn5e,300,both,42.92,615.74
dynamic,ORTEC-SYNTH-300-s108_dyn5e,300,both,41.91,622.49
dynamic,ORTEC-SYNTH-300-s109_dyn5e,300,both,44.52,518.42
dynamic,ORTEC-SYNTH-300-s111_dyn5e,300,both,40.87,670.68
dynamic,ORTEC-SYNTH-300-s110_dyn5e,300,both,43.51,699.22
dynamic,ORTEC-SYNTH-300-s42_dyn5e,300,both,43.06,612.73
dynamic,ORTEC-SYNTH-300-s43_dyn5e,300,both,47.18,557.76
dynamic,ORTEC-SYNTH-300-s44_dyn5e,300,both,44.38,585.41
dynamic,ORTEC-SYNTH-300-s45_dyn5e,300,both,43.69,588.4
dynamic,ORTEC-SYNTH-300-s46_dyn5e,300,both,45.29,629.93
dynamic,ORTEC-SYNTH-300-s47_dyn5e,300,both,38.16,779.32
dynamic,ORTEC-SYNTH-300-s49_dyn5e,300,both,40.35,714.98
dynamic,ORTEC-SYNTH-300-s48_dyn5e,300,both,45.97,567.75
dynamic,ORTEC-SYNTH-300-s50_dyn5e,300,both,43.01,777.96
dynamic,ORTEC-SYNTH-300-s51_dyn5e,300,both,45.29,683.4
dynamic,ORTEC-SYNTH-300-s52_dyn5e,300,both,39.79,704.01
dynamic,ORTEC-SYNTH-300-s53_dyn5e,300,both,47.27,619.35
dynamic,ORTEC-SYNTH-300-s54_dyn5e,300,both,41.49,570.39
dynamic,ORTEC-SYNTH-300-s55_dyn5e,300,both,52.68,579.29
dynamic,ORTEC-SYNTH-300-s56_dyn5e,300,both,42.46,611.14
dynamic,ORTEC-SYNTH-300-s57_dyn5e,300,both,44.7,770.72
dynamic,ORTEC-SYNTH-300-s58_dyn5e,300,both,46.38,581.68
dynamic,ORTEC-SYNTH-300-s60_dyn5e,300,both,42.85,631.4
dynamic,ORTEC-SYNTH-300-s61_dyn5e,300,both,35.38,682.59
dynamic,ORTEC-SYNTH-300-s62_dyn5e,300,both,46.51,582.71
dynamic,ORTEC-SYNTH-300-s63_dyn5e,300,both,40.18,561.38
dynamic,ORTEC-SYNTH-300-s64_dyn5e,300,both,48.5,717.69
dynamic,ORTEC-SYNTH-300-s65_dyn5e,300,both,45.31,559.73
dynamic,ORTEC-SYNTH-300-s66_dyn5e,300,both,37.78,541.99
dynamic,ORTEC-SYNTH-300-s67_dyn5e,300,both,43.58,583.54
dynamic,ORTEC-SYNTH-300-s69_dyn5e,300,both,35.38,620.85
dynamic,ORTEC-SYNTH-300-s70_dyn5e,300,both,41.04,752.21
dynamic,ORTEC-SYNTH-300-s72_dyn5e,300,both,48.04,675.29
dynamic,ORTEC-SYNTH-300-s59_dyn5e,300,droc_only,264.18,787.27
dynamic,ORTEC-SYNTH-300-s73_dyn5e,300,both,40.83,556.08
