setting,scale,rule,metric,value,unit
static,300,retry,distance_reduction_pct,7.64417317826961,ORTEC-SYNTH-300-s55
static,300,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-300-s57
static,300,latest,distance_reduction_pct,21.917529887041535,ORTEC-SYNTH-300-s57
static,300,retry,vehicle_reduction_pct,3.571428571428571,ORTEC-SYNTH-300-s57
static,300,retry,distance_reduction_pct,2.020902776887968,ORTEC-SYNTH-300-s57
static,300,latest,vehicle_reduction_pct,3.225806451612903,ORTEC-SYNTH-300-s56
static,300,latest,distance_reduction_pct,0.3864949393338778,ORTEC-SYNTH-300-s56
static,300,retry,vehicle_reduction_pct,12.903225806451612,ORTEC-SYNTH-300-s56
static,300,retry,distance_reduction_pct,5.064110701234114,ORTEC-SYNTH-300-s56
static,300,latest,vehicle_reduction_pct,3.571428571428571,ORTEC-SYNTH-300-s60
static,300,latest,distance_reduction_pct,1.4149687869313243,ORTEC-SYNTH-300-s60
static,300,retry,vehicle_reduction_pct,3.571428571428571,ORTEC-SYNTH-300-s60
static,300,retry,distance_reduction_pct,1.4149687869313243,ORTEC-SYNTH-300-s60
static,300,latest,vehicle_reduction_pct,10.344827586206897,ORTEC-SYNTH-300-s61
static,300,latest,distance_reduction_pct,3.372298630682603,ORTEC-SYNTH-300-s61
static,300,retry,vehicle_reduction_pct,13.793103448275861,ORTEC-SYNTH-300-s61
static,300,retry,distance_reduction_pct,4.213411947882653,ORTEC-SYNTH-300-s61
static,300,latest,vehicle_reduction_pct,6.451612903225806,ORTEC-SYNTH-300-s58
static,300,latest,distance_reduction_pct,7.017357106951713,ORTEC-SYNTH-300-s58
static,300,retry,vehicle_reduction_pct,19.35483870967742,ORTEC-SYNTH-300-s58
static,300,retry,distance_reduction_pct,26.279901830332065,ORTEC-SYNTH-300-s58
static,300,latest,vehicle_reduction_pct,3.225806451612903,ORTEC-SYNTH-300-s62
static,300,latest,distance_reduction_pct,25.360121536317997,ORTEC-SYNTH-300-s62
static,300,retry,vehicle_reduction_pct,9.67741935483871,ORTEC-SYNTH-300-s62
static,300,retry,distance_reduction_pct,5.3313641805462755,ORTEC-SYNTH-300-s62
static,300,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-300-s63
static,300,latest,distance_reduction_pct,1.7377885769846204,ORTEC-SYNTH-300-s63
static,300,retry,vehicle_reduction_pct,3.571428571428571,ORTEC-SYNTH-300-s63
static,300,retry,distance_reduction_pct,3.729975854005206,ORTEC-SYNTH-300-s63
static,300,latest,vehicle_reduction_pct,3.4482758620689653,ORTEC-SYNTH-300-s65
static,300,latest,distance_reduction_pct,16.168260891373365,ORTEC-SYNTH-300-s65
static,300,retry,vehicle_reduction_pct,3.4482758620689653,ORTEC-SYNTH-300-s65
static,300,retry,distance_reduction_pct,16.168260891373365,ORTEC-SYNTH-300-s65
static,300,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-300-s66
static,300,latest,distance_reduction_pct,-2.4668765097723444,ORTEC-SYNTH-300-s66
static,300,retry,vehicle_reduction_pct,10.714285714285714,ORTEC-SYNTH-300-s66
static,300,retry,distance_reduction_pct,-0.11468169728911988,ORTEC-SYNTH-300-s66
static,300,latest,vehicle_reduction_pct,-3.571428571428571,ORTEC-SYNTH-300-s64
static,300,latest,distance_reduction_pct,-0.759366785160701,ORTEC-SYNTH-300-s64
static,300,retry,vehicle_reduction_pct,-3.571428571428571,ORTEC-SYNTH-300-s64
static,300,retry,distance_reduction_pct,-0.759366785160701,ORTEC-SYNTH-300-s64
static,300,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-300-s67
static,300,latest,distance_reduction_pct,25.87294097959051,ORTEC-SYNTH-300-s67
static,300,retry,vehicle_reduction_pct,9.67741935483871,ORTEC-SYNTH-300-s67
static,300,retry,distance_reduction_pct,28.68183181054339,ORTEC-SYNTH-300-s67
static,300,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-300-s69
