timestamp,instance,size,solver,time_limit_sec,vehicles,distance,feasible,late_violations,capacity_violations,runtime_sec,error
2026-05-02T12:53:26.220293,ORTEC-SYNTH-500-s207,500,ortools,120,46,227546.5,True,0,0,122.0,
2026-05-02T12:53:45.989032,ORTEC-SYNTH-500-s209,500,ortools,120,0,0.0,False,0,0,120.82,
2026-05-02T12:54:57.677105,ORTEC-SYNTH-500-s210,500,ortools,120,44,223759.9,True,0,0,69.78,
2026-05-02T12:55:03.115432,ORTEC-SYNTH-500-s211,500,ortools,120,45,232835.2,True,0,0,98.67,
2026-05-02T12:55:46.806791,ORTEC-SYNTH-500-s213,500,ortools,120,41,211761.4,True,0,0,91.78,
2026-05-02T12:55:28.222656,ORTEC-SYNTH-500-s212,500,ortools,120,45,231214.9,True,0,0,121.0,
2026-05-02T12:56:07.458814,ORTEC-SYNTH-500-s214,500,ortools,120,42,179557.0,True,0,0,109.63,
2026-05-02T12:56:41.788916,ORTEC-SYNTH-500-s215,500,ortools,120,48,282150.4,True,0,0,88.12,
2026-05-02T12:57:18.590407,ORTEC-SYNTH-500-s216,500,ortools,120,42,194416.6,True,0,0,77.6,
2026-05-02T12:57:29.224099,ORTEC-SYNTH-500-s217,500,ortools,120,43,235321.2,True,0,0,122.69,
2026-05-02T12:58:09.905244,ORTEC-SYNTH-500-s219,500,ortools,120,48,250598.3,True,0,0,89.47,
2026-05-02T12:57:57.087188,ORTEC-SYNTH-500-s218,500,ortools,120,0,0.0,False,0,0,120.82,
2026-05-02T12:58:36.189524,ORTEC-SYNTH-500-s220,500,ortools,120,46,214079.9,True,0,0,100.93,
2026-05-02T12:59:39.381139,ORTEC-SYNTH-500-s222,500,ortools,120,46,258308.3,False,0,0,71.85,
2026-05-02T12:59:57.908189,ORTEC-SYNTH-500-s223,500,ortools,120,42,173664.1,True,0,0,79.53,
2026-05-02T12:59:31.913161,ORTEC-SYNTH-500-s221,500,ortools,120,43,232039.0,True,0,0,121.95,
2026-05-02T13:00:17.119193,ORTEC-SYNTH-500-s224,500,ortools,120,44,229434.7,True,0,0,93.77,
2026-05-02T13:00:51.227996,ORTEC-SYNTH-500-s225,500,ortools,120,47,246397.3,True,0,0,75.67,
2026-05-02T13:01:17.442251,ORTEC-SYNTH-500-s226,500,ortools,120,43,204410.5,False,0,0,74.49,
2026-05-02T13:01:50.890445,ORTEC-SYNTH-500-s228,500,ortools,120,45,243490.5,True,0,0,100.3,
2026-05-02T13:02:06.897563,ORTEC-SYNTH-500-s229,500,ortools,120,41,201730.0,True,0,0,89.61,
2026-05-02T13:01:33.867892,ORTEC-SYNTH-500-s227,500,ortools,120,43,224800.9,True,0,0,122.7,
2026-05-02T13:02:31.934469,ORTEC-SYNTH-500-s230,500,ortools,120,43,226994.1,True,0,0,83.85,
2026-05-02T13:03:36.504051,ORTEC-SYNTH-500-s232,500,ortools,120,44,235105.3,True,0,0,66.7,
2026-05-02T13:03:31.197279,ORTEC-SYNTH-500-s231,500,ortools,120,43,249534.3,True,0,0,87.44,
2026-05-02T13:03:55.780781,ORTEC-SYNTH-500-s234,500,ortools,120,45,231726.5,False,0,0,77.3,
2026-05-02T13:03:36.570907,ORTEC-SYNTH-500-s233,500,ortools,120,43,204453.6,False,0,0,121.82,
2026-05-02T13:04:43.205941,ORTEC-SYNTH-500-s235,500,ortools,120,46,256864.1,False,0,0,86.93,
2026-05-02T13:04:58.634571,ORTEC-SYNTH-500-s236,500,ortools,120,47,233178.0,False,0,0,81.62,
2026-05-02T13:05:13.083717,ORTEC-SYNTH-500-s237,500,ortools,120,46,270241.1,True,0,0,90.76,
2026-05-02T13:06:10.132959,ORTEC-SYNTH-500-s239,500,ortools,120,45,251016.5,True,0,0,79.03,
2026-05-02T13:06:20.254734,ORTEC-SYNTH-500-s240,500,ortools,120,47,247135.8,False,0,0,76.12,
2026-05-02T13:05:38.389105,ORTEC-SYNTH-500-s238,500,ortools,120,0,0.0,False,0,0,122.9,
2026-05-02T13:06:43.845155,ORTEC-SYNTH-500-s241,500,ortools,120,45,215045.0,True,0,0,92.48,
2026-05-02T13:07:29.161109,ORTEC-SYNTH-500-s242,500,ortools,120,42,213691.0,False,0,0,83.09,
2026-05-02T13:07:36.379673,ORTEC-SYNTH-500-s243,500,ortools,120,42,206526.3,True,0,0,83.6,
2026-05-02T13:07:41.286668,ORTEC-SYNTH-500-s244,500,ortools,120,44,231709.7,True,0,0,121.57,
2026-05-02T13:08:16.330095,ORTEC-SYNTH-500-s245,500,ortools,120,45,227007.1,True,0,0,93.59,
2026-05-02T13:08:52.255521,ORTEC-SYNTH-500-s246,500,ortools,120,42,209492.5,True,0,0,88.47,
2026-05-02T13:08:59.985322,ORTEC-SYNTH-500-s247,500,ortools,120,44,243589.3,True,0,0,103.39,
2026-05-02T13:09:49.925913,ORTEC-SYNTH-500-s249,500,ortools,120,44,216547.6,True,0,0,76.26,
2026-05-02T13:09:42.861075,ORTEC-SYNTH-500-s248,500,ortools,120,46,224109.9,True,0,0,121.54,
2026-05-02T13:10:43.375034,ORTEC-SYNTH-500-s251,500,ortools,120,43,167368.7,True,0,0,61.79,
2026-05-02T13:10:20.725895,ORTEC-SYNTH-500-s250,500,ortools,120,0,0.0,False,0,0,120.85,
2026-05-02T13:11:06.188364,ORTEC-SYNTH-500-s252,500,ortools,120,0,0.0,False,0,0,120.86,
2026-05-02T13:11:45.170476,ORTEC-SYNTH-500-s254,500,ortools,120,45,214472.5,True,0,0,85.85,
2026-05-02T13:11:44.396625,ORTEC-SYNTH-500-s253,500,ortools,120,47,245416.1,False,0,0,121.48,
2026-05-02T13:13:07.048691,ORTEC-SYNTH-500-s256,500,ortools,120,45,222624.9,True,0,0,72.39,
2026-05-02T13:12:21.594327,ORTEC-SYNTH-500-s255,500,ortools,120,0,0.0,False,0,0,120.9,
2026-05-02T13:13:11.018860,ORTEC-SYNTH-500-s257,500,ortools,120,44,238885.0,False,0,0,79.78,
2026-05-02T13:14:22.492329,ORTEC-SYNTH-500-s260,500,ortools,120,43,212370.6,True,0,0,70.83,
2026-05-02T13:13:45.881475,ORTEC-SYNTH-500-s258,500,ortools,120,48,263664.5,True,0,0,122.05,
2026-05-02T13:14:30.798736,ORTEC-SYNTH-500-s261,500,ortools,120,49,264007.9,True,0,0,92.99,
2026-05-02T13:14:19.438505,ORTEC-SYNTH-500-s259,500,ortools,120,46,234347.2,True,0,0,106.9,
2026-05-02T13:15:33.324131,ORTEC-SYNTH-500-s262,500,ortools,120,41,188052.2,True,0,0,66.94,
2026-05-02T13:16:03.793091,ORTEC-SYNTH-500-s264,500,ortools,120,44,202373.4,True,0,0,69.13,
2026-05-02T13:16:06.337353,ORTEC-SYNTH-500-s265,500,ortools,120,46,210222.3,False,0,0,90.36,
2026-05-02T13:15:47.928779,ORTEC-SYNTH-500-s263,500,ortools,120,45,231127.4,True,0,0,122.74,
2026-05-02T13:16:40.266651,ORTEC-SYNTH-500-s266,500,ortools,120,43,209775.8,False,0,0,72.84,
2026-05-02T13:17:12.922532,ORTEC-SYNTH-500-s267,500,ortools,120,47,229738.0,True,0,0,84.53,
2026-05-02T13:17:36.699763,ORTEC-SYNTH-500-s268,500,ortools,120,42,203075.3,True,0,0,81.28,
2026-05-02T13:17:53.103982,ORTEC-SYNTH-500-s45,500,ortools,120,42,225122.3,True,0,0,86.07,
2026-05-02T13:18:37.457727,ORTEC-SYNTH-500-s46,500,ortools,120,45,222018.8,True,0,0,72.71,
2026-05-02T13:17:50.667185,ORTEC-SYNTH-500-s269,500,ortools,120,48,272054.4,False,0,0,122.1,
2026-05-02T13:18:57.977489,ORTEC-SYNTH-500-s47,500,ortools,120,42,170753.8,True,0,0,69.55,
2026-05-02T13:19:19.171457,ORTEC-SYNTH-800-s400,800,ortools,120,70,323202.8,True,0,0,121.79,
2026-05-02T13:19:50.164146,ORTEC-SYNTH-800-s401,800,ortools,120,70,337954.6,False,0,0,121.51,
2026-05-02T13:19:52.765166,ORTEC-SYNTH-800-s402,800,ortools,120,0,0.0,False,0,0,125.73,
2026-05-02T13:20:07.527884,ORTEC-SYNTH-800-s403,800,ortools,120,69,359042.8,True,0,0,122.12,
2026-05-02T13:21:20.965107,ORTEC-SYNTH-800-s404,800,ortools,120,0,0.0,False,0,0,121.95,
2026-05-02T13:21:51.688774,ORTEC-SYNTH-800-s405,800,ortools,120,69,371977.4,False,0,0,121.61,
2026-05-02T13:21:58.501684,ORTEC-SYNTH-800-s406,800,ortools,120,66,324220.2,True,0,0,123.36,
2026-05-02T13:22:09.653184,ORTEC-SYNTH-800-s407,800,ortools,120,0,0.0,False,0,0,122.24,
2026-05-02T13:23:22.920662,ORTEC-SYNTH-800-s408,800,ortools,120,68,331428.6,True,0,0,121.54,
2026-05-02T13:23:53.304667,ORTEC-SYNTH-800-s409,800,ortools,120,67,337010.4,False,0,0,121.82,
