timestamp,scenario,base_instance,num_epochs,solver,time_limit_sec,overall_served_rate,overall_feasible,total_late_violations,total_capacity_violations,total_distance,total_runtime_sec,error
2026-05-02T14:05:09.409982,ORTEC-SYNTH-300-s81_dyn5e,ORTEC-SYNTH-300-s81,5,ortools,120,1.0000,True,0,0,208832.5,39.51,
2026-05-02T13:59:42.723355,ORTEC-SYNTH-300-s68_dyn5e,ORTEC-SYNTH-300-s68,5,ortools,120,0.4000,False,0,0,111767.5,386.76,
2026-05-02T14:05:40.995133,ORTEC-SYNTH-300-s82_dyn5e,ORTEC-SYNTH-300-s82,5,ortools,120,1.0000,True,0,0,207411.4,48.63,
2026-05-02T14:05:48.917143,ORTEC-SYNTH-300-s83_dyn5e,ORTEC-SYNTH-300-s83,5,ortools,120,1.0000,True,0,0,236480.8,47.2,
2026-05-02T14:06:09.486331,ORTEC-SYNTH-300-s84_dyn5e,ORTEC-SYNTH-300-s84,5,ortools,120,1.0000,True,0,0,294100.1,40.78,
2026-05-02T14:06:29.638174,ORTEC-SYNTH-300-s85_dyn5e,ORTEC-SYNTH-300-s85,5,ortools,120,1.0000,True,0,0,242601.4,44.96,
2026-05-02T14:06:36.119564,ORTEC-SYNTH-300-s86_dyn5e,ORTEC-SYNTH-300-s86,5,ortools,120,1.0000,True,0,0,259492.3,45.61,
2026-05-02T14:06:50.287802,ORTEC-SYNTH-300-s87_dyn5e,ORTEC-SYNTH-300-s87,5,ortools,120,1.0000,True,0,0,237797.4,49.76,
2026-05-02T14:07:21.731147,ORTEC-SYNTH-300-s89_dyn5e,ORTEC-SYNTH-300-s89,5,ortools,120,1.0000,True,0,0,303494.4,54.28,
2026-05-02T14:07:40.048046,ORTEC-SYNTH-300-s90_dyn5e,ORTEC-SYNTH-300-s90,5,ortools,120,1.0000,True,0,0,233001.2,43.71,
2026-05-02T14:08:23.764997,ORTEC-SYNTH-300-s92_dyn5e,ORTEC-SYNTH-300-s92,5,ortools,120,1.0000,True,0,0,201530.4,50.01,
