scenario,base,epoch,served_rate,feasible,late_violations,capacity_violations,runtime_sec,orders_dispatched,orders_pending,distance,error
ORTEC-SYNTH-300-s57_dyn5e,ORTEC-SYNTH-300-s57,3,0.8000,True,0,0,5.09,60,0,55321.6,
ORTEC-SYNTH-300-s57_dyn5e,ORTEC-SYNTH-300-s57,4,1.0000,True,0,0,10.96,60,0,56536.1,
ORTEC-SYNTH-300-s58_dyn5e,ORTEC-SYNTH-300-s58,0,0.2000,True,0,0,11.47,60,0,48612.6,
ORTEC-SYNTH-300-s58_dyn5e,ORTEC-SYNTH-300-s58,1,0.4000,True,0,0,8.27,60,0,50455.0,
ORTEC-SYNTH-300-s58_dyn5e,ORTEC-SYNTH-300-s58,2,0.6000,True,0,0,10.13,60,0,46227.5,
ORTEC-SYNTH-300-s58_dyn5e,ORTEC-SYNTH-300-s58,3,0.8000,True,0,0,7.93,60,0,53909.9,
ORTEC-SYNTH-300-s58_dyn5e,ORTEC-SYNTH-300-s58,4,1.0000,True,0,0,7.43,60,0,51864.2,
ORTEC-SYNTH-300-s60_dyn5e,ORTEC-SYNTH-300-s60,0,0.2000,True,0,0,9.7,60,0,42726.3,
ORTEC-SYNTH-300-s60_dyn5e,ORTEC-SYNTH-300-s60,1,0.4000,True,0,0,8.71,60,0,47223.4,
ORTEC-SYNTH-300-s60_dyn5e,ORTEC-SYNTH-300-s60,2,0.6000,True,0,0,5.39,60,0,46521.6,
ORTEC-SYNTH-300-s60_dyn5e,ORTEC-SYNTH-300-s60,3,0.8000,True,0,0,10.22,60,0,47253.5,
ORTEC-SYNTH-300-s60_dyn5e,ORTEC-SYNTH-300-s60,4,1.0000,True,0,0,7.68,60,0,44281.0,
ORTEC-SYNTH-300-s61_dyn5e,ORTEC-SYNTH-300-s61,0,0.2000,True,0,0,7.74,60,0,41458.3,
ORTEC-SYNTH-300-s61_dyn5e,ORTEC-SYNTH-300-s61,1,0.4000,True,0,0,7.22,60,0,39038.0,
ORTEC-SYNTH-300-s61_dyn5e,ORTEC-SYNTH-300-s61,2,0.6000,True,0,0,7.51,60,0,39803.4,
ORTEC-SYNTH-300-s61_dyn5e,ORTEC-SYNTH-300-s61,3,0.8000,True,0,0,6.22,60,0,47136.5,
ORTEC-SYNTH-300-s61_dyn5e,ORTEC-SYNTH-300-s61,4,1.0000,True,0,0,5.46,60,0,46428.0,
ORTEC-SYNTH-300-s62_dyn5e,ORTEC-SYNTH-300-s62,0,0.2000,True,0,0,7.8,60,0,55193.4,
ORTEC-SYNTH-300-s62_dyn5e,ORTEC-SYNTH-300-s62,1,0.4000,True,0,0,9.44,60,0,58958.2,
ORTEC-SYNTH-300-s62_dyn5e,ORTEC-SYNTH-300-s62,2,0.6000,True,0,0,6.42,60,0,56011.3,
ORTEC-SYNTH-300-s62_dyn5e,ORTEC-SYNTH-300-s62,3,0.8000,True,0,0,11.24,60,0,48763.6,
ORTEC-SYNTH-300-s62_dyn5e,ORTEC-SYNTH-300-s62,4,1.0000,True,0,0,10.09,60,0,58021.4,
ORTEC-SYNTH-300-s63_dyn5e,ORTEC-SYNTH-300-s63,0,0.2000,True,0,0,6.33,60,0,50039.8,
ORTEC-SYNTH-300-s63_dyn5e,ORTEC-SYNTH-300-s63,1,0.4000,True,0,0,9.27,60,0,51823.1,
ORTEC-SYNTH-300-s63_dyn5e,ORTEC-SYNTH-300-s63,2,0.6000,True,0,0,7.43,60,0,50824.9,
ORTEC-SYNTH-300-s63_dyn5e,ORTEC-SYNTH-300-s63,3,0.8000,True,0,0,7.38,60,0,52958.8,
ORTEC-SYNTH-300-s63_dyn5e,ORTEC-SYNTH-300-s63,4,1.0000,True,0,0,8.97,60,0,52133.4,
ORTEC-SYNTH-300-s64_dyn5e,ORTEC-SYNTH-300-s64,0,0.2000,True,0,0,8.76,60,0,46767.4,
ORTEC-SYNTH-300-s64_dyn5e,ORTEC-SYNTH-300-s64,1,0.4000,True,0,0,8.07,60,0,54088.2,
ORTEC-SYNTH-300-s64_dyn5e,ORTEC-SYNTH-300-s64,2,0.6000,True,0,0,10.91,60,0,50377.2,
ORTEC-SYNTH-300-s64_dyn5e,ORTEC-SYNTH-300-s64,3,0.8000,True,0,0,9.55,60,0,50623.5,
ORTEC-SYNTH-300-s64_dyn5e,ORTEC-SYNTH-300-s64,4,1.0000,True,0,0,10.28,60,0,51663.2,
ORTEC-SYNTH-300-s65_dyn5e,ORTEC-SYNTH-300-s65,0,0.2000,True,0,0,9.09,60,0,40839.7,
ORTEC-SYNTH-300-s65_dyn5e,ORTEC-SYNTH-300-s65,1,0.4000,True,0,0,6.64,60,0,38599.3,
ORTEC-SYNTH-300-s65_dyn5e,ORTEC-SYNTH-300-s65,2,0.6000,True,0,0,7.17,60,0,42296.0,
ORTEC-SYNTH-300-s65_dyn5e,ORTEC-SYNTH-300-s65,3,0.8000,True,0,0,9.92,60,0,46369.8,
ORTEC-SYNTH-300-s65_dyn5e,ORTEC-SYNTH-300-s65,4,1.0000,True,0,0,10.95,60,0,40481.1,
ORTEC-SYNTH-300-s66_dyn5e,ORTEC-SYNTH-300-s66,0,0.2000,True,0,0,9.39,60,0,43539.8,
ORTEC-SYNTH-300-s66_dyn5e,ORTEC-SYNTH-300-s66,1,0.4000,True,0,0,5.03,60,0,48730.7,
ORTEC-SYNTH-300-s66_dyn5e,ORTEC-SYNTH-300-s66,2,0.6000,True,0,0,9.16,60,0,47095.2,
ORTEC-SYNTH-300-s66_dyn5e,ORTEC-SYNTH-300-s66,3,0.8000,True,0,0,6.37,60,0,42073.8,
ORTEC-SYNTH-300-s66_dyn5e,ORTEC-SYNTH-300-s66,4,1.0000,True,0,0,6.79,60,0,47147.6,
ORTEC-SYNTH-300-s67_dyn5e,ORTEC-SYNTH-300-s67,0,0.2000,True,0,0,6.89,60,0,54004.1,
ORTEC-SYNTH-300-s67_dyn5e,ORTEC-SYNTH-300-s67,1,0.4000,True,0,0,10.45,60,0,60098.6,
ORTEC-SYNTH-300-s67_dyn5e,ORTEC-SYNTH-300-s67,2,0.6000,True,0,0,7.78,60,0,56387.9,
ORTEC-SYNTH-300-s67_dyn5e,ORTEC-SYNTH-300-s67,3,0.8000,True,0,0,10.35,60,0,51160.5,
ORTEC-SYNTH-300-s67_dyn5e,ORTEC-SYNTH-300-s67,4,1.0000,True,0,0,6.84,60,0,57778.8,
ORTEC-SYNTH-300-s69_dyn5e,ORTEC-SYNTH-300-s69,0,0.2000,True,0,0,7.61,60,0,57600.0,
ORTEC-SYNTH-300-s69_dyn5e,ORTEC-SYNTH-300-s69,1,0.4000,True,0,0,6.43,60,0,58055.7,
ORTEC-SYNTH-300-s69_dyn5e,ORTEC-SYNTH-300-s69,2,0.6000,True,0,0,7.39,60,0,51544.8,
ORTEC-SYNTH-300-s69_dyn5e,ORTEC-SYNTH-300-s69,3,0.8000,True,0,0,5.9,60,0,53923.9,
ORTEC-SYNTH-300-s69_dyn5e,ORTEC-SYNTH-300-s69,4,1.0000,True,0,0,7.36,60,0,53592.2,
ORTEC-SYNTH-300-s70_dyn5e,ORTEC-SYNTH-300-s70,0,0.2000,True,0,0,6.49,60,0,67310.0,
ORTEC-SYNTH-300-s70_dyn5e,ORTEC-SYNTH-300-s70,1,0.4000,True,0,0,7.91,60,0,51501.0,
ORTEC-SYNTH-300-s70_dyn5e,ORTEC-SYNTH-300-s70,2,0.6000,True,0,0,7.22,60,0,60988.9,
ORTEC-SYNTH-300-s70_dyn5e,ORTEC-SYNTH-300-s70,3,0.8000,True,0,0,10.39,60,0,57655.9,
ORTEC-SYNTH-300-s70_dyn5e,ORTEC-SYNTH-300-s70,4,1.0000,True,0,0,7.68,60,0,59058.1,
ORTEC-SYNTH-300-s72_dyn5e,ORTEC-SYNTH-300-s72,0,0.2000,True,0,0,8.93,60,0,51240.7,
ORTEC-SYNTH-300-s72_dyn5e,ORTEC-SYNTH-300-s72,1,0.4000,True,0,0,11.07,60,0,49118.3,
ORTEC-SYNTH-300-s72_dyn5e,ORTEC-SYNTH-300-s72,2,0.6000,True,0,0,8.76,60,0,47314.3,
ORTEC-SYNTH-300-s72_dyn5e,ORTEC-SYNTH-300-s72,3,0.8000,True,0,0,7.96,60,0,50275.2,
