feasible,improvement,instance,method,method_label,metric,n,panel,rate,scale,scenario,served_rate,size
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s58_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s58_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s58_dyn5e,100.33000000000001,
False,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s59_dyn5e,60.0,
False,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s59_dyn5e,60.33,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s59_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s60_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s60_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s60_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s61_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s61_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s61_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s62_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s62_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s62_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s63_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s63_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s63_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s64_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s64_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s64_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s65_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s65_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s65_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s66_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s66_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s66_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s67_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s67_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s67_dyn5e,100.33000000000001,
False,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s68_dyn5e,40.0,
False,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s68_dyn5e,40.33,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s68_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s69_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s69_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s69_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s70_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s70_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s70_dyn5e,100.33000000000001,
False,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s71_dyn5e,60.0,
False,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s71_dyn5e,60.33,
False,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s71_dyn5e,60.33,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s72_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s72_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s72_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s73_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s73_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s73_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s74_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s74_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s74_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s75_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s75_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s75_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s76_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s76_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s76_dyn5e,100.33000000000001,
False,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s77_dyn5e,20.0,
False,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s77_dyn5e,20.330000000000002,
False,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s77_dyn5e,20.330000000000002,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s78_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s78_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s78_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s79_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s79_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s79_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s80_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s80_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s80_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s81_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s81_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s81_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s82_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s82_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s82_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s83_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s83_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s83_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s84_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s84_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s84_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s85_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s85_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s85_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s86_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s86_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s86_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s87_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s87_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s87_dyn5e,100.33000000000001,
False,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s88_dyn5e,60.0,
False,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s88_dyn5e,60.33,
False,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s88_dyn5e,60.33,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s89_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s89_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s89_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s90_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s90_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s90_dyn5e,100.33000000000001,
False,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s91_dyn5e,0.0,
False,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s91_dyn5e,80.0,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s91_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s92_dyn5e,100.0,
